frame,time_s,ball_x,ball_y,ball_w,ball_h,cross_x,cross_y
194,3.233,1271,715,34,91,1280,720
195,3.25,1270,716,33,89,1280,720
196,3.267,1271,715,32,87,1280,720
197,3.283,1271,717,32,86,1280,720
198,3.3,1271,718,32,86,1280,720
199,3.317,1270,718,31,84,1280,720
200,3.333,1270,719,31,82,1280,720
201,3.35,1270,720,30,81,1280,720
202,3.367,1270,721,29,79,1280,720
203,3.383,1272,723,29,79,1280,720
204,3.4,1273,723,29,78,1280,720
205,3.417,1275,722,28,76,1280,720
206,3.433,1279,725,28,76,1280,720
207,3.45,1282,725,28,76,1280,720
208,3.467,1286,724,28,76,1280,720
209,3.483,1288,723,28,76,1280,720
210,3.5,1291,722,28,76,1280,720
211,3.517,1292,721,28,75,1280,720
212,3.533,1291,720,27,73,1280,720
213,3.55,1292,720,27,73,1280,720
214,3.567,1291,720,27,73,1280,720
215,3.583,1291,721,27,72,1280,720
216,3.6,1291,721,27,72,1280,720
217,3.617,1290,721,27,72,1280,720
218,3.633,1291,721,26,70,1280,720
219,3.65,1292,721,26,69,1280,720
220,3.667,1292,721,26,69,1280,720
221,3.683,1293,721,26,69,1280,720
222,3.7,1293,721,26,69,1280,720
223,3.717,1293,721,26,69,1280,720
224,3.733,1292,722,26,69,1280,720
225,3.75,1291,722,25,68,1280,720
226,3.767,1291,722,25,68,1280,720
227,3.783,1290,722,25,68,1280,720
228,3.8,1291,721,25,66,1280,720
229,3.817,1291,722,25,66,1280,720
230,3.833,1289,723,25,66,1280,720
231,3.85,1287,724,25,66,1280,720
232,3.867,1283,725,25,68,1280,720
233,3.883,1279,726,25,68,1280,720
234,3.9,1276,727,25,66,1280,720
235,3.917,1273,728,25,66,1280,720
236,3.933,1271,729,24,65,1280,720
237,3.95,1271,730,24,65,1280,720
238,3.967,1270,731,24,64,1280,720
239,3.983,1270,731,24,64,1280,720
240,4.0,1269,730,23,62,1280,720
241,4.017,1272,730,23,62,1280,720
242,4.033,1275,730,23,62,1280,720
243,4.05,1278,729,23,61,1280,720
244,4.067,1281,729,23,61,1280,720
245,4.083,1284,728,22,60,1280,720
246,4.1,1285,727,23,61,1280,720
247,4.117,1285,727,23,61,1280,720
248,4.133,1286,727,23,61,1280,720
249,4.15,1286,727,23,61,1280,720
250,4.167,1286,728,23,61,1280,720
251,4.183,1285,729,23,61,1280,720
252,4.2,1284,729,23,61,1280,720
253,4.217,1282,730,23,61,1280,720
254,4.233,1281,732,22,60,1280,720
255,4.25,1281,733,22,60,1280,720
256,4.267,1280,733,23,61,1280,720
257,4.283,1280,733,22,60,1280,720
258,4.3,1280,733,23,61,1280,720
259,4.317,1280,733,23,61,1280,720
260,4.333,1280,733,23,61,1280,720
261,4.35,1281,733,23,61,1280,720
262,4.367,1283,731,23,61,1280,720
263,4.383,1285,731,23,61,1280,720
264,4.4,1289,731,22,60,1280,720
265,4.417,1292,730,22,59,1280,720
266,4.433,1293,729,21,58,1280,720
267,4.45,1295,728,21,58,1280,720
268,4.467,1295,727,21,58,1280,720
269,4.483,1295,727,21,58,1280,720
270,4.5,1295,726,21,58,1280,720
271,4.517,1295,726,21,58,1280,720
272,4.533,1294,725,21,58,1280,720
273,4.55,1293,725,21,58,1280,720
274,4.567,1291,726,21,57,1280,720
275,4.583,1290,725,21,57,1280,720
276,4.6,1287,726,21,57,1280,720
277,4.617,1285,727,21,58,1280,720
278,4.633,1283,728,22,59,1280,720
279,4.65,1280,728,22,60,1280,720
280,4.667,1279,729,22,60,1280,720
281,4.683,1277,728,23,61,1280,720
282,4.7,1276,728,23,61,1280,720
283,4.717,1277,727,23,61,1280,720
284,4.733,1277,727,22,60,1280,720
285,4.75,1278,727,23,61,1280,720
286,4.767,1277,726,22,60,1280,720
287,4.783,1278,726,22,60,1280,720
288,4.8,1280,727,22,60,1280,720
289,4.817,1281,727,22,60,1280,720
290,4.833,1283,727,22,60,1280,720
291,4.85,1283,727,23,61,1280,720
292,4.867,1283,727,23,61,1280,720
293,4.883,1284,727,22,60,1280,720
294,4.9,1283,727,23,61,1280,720
295,4.917,1283,727,22,60,1280,720
296,4.933,1282,727,23,61,1280,720
297,4.95,1281,727,23,61,1280,720
298,4.967,1281,727,23,61,1280,720
299,4.983,1281,728,23,62,1280,720
300,5.0,1281,729,24,64,1280,720
