frame,time_s,chunk_id,error_px,is_miss,speed_t,accel_t,speed_c,accel_c,v_rel,a_rel,cross_x,cross_y,ball_x,ball_y,ball_w,ball_h,on_target
36,0.6,0,40.367451977283906,0.0,46.991097724001904,2307.9277744903275,4.5758069512653736e-11,2.0463630789890885e-09,46.9910977240075,2307.9277744890655,1280,720,1275,680,42,113,1.0
37,0.617,0,41.06830906027522,0.0,40.43134770879542,1190.7809133835567,1.3642420526593924e-11,1.475653401902305e-09,40.431347708802654,1190.7809133822311,1280,720,1275,679,42,113,1.0
38,0.633,0,41.67862413456729,0.0,45.58016038158744,1090.9647481181653,2.0463630789890885e-11,1.2278178473934531e-09,45.58016038159834,1090.9647481190336,1280,720,1275,679,42,113,1.0
39,0.65,0,42.1640517056394,0.0,28.139593719413813,542.1047417423804,0.0,0.0,28.139593719413813,542.1047417423804,1280,720,1274,678,43,115,1.0
40,0.667,0,42.41363106093667,0.0,19.166296950006043,2683.281573000602,0.0,0.0,19.166296950006043,2683.281573000602,1280,720,1274,678,43,115,1.0
41,0.683,0,42.59776004671773,0.0,25.55506260000399,1580.4933355357418,0.0,0.0,25.55506260000399,1580.4933355357418,1280,720,1273,678,43,115,1.0
42,0.7,0,42.35261224732598,0.0,22.31499907401394,8.185452315956354e-10,0.0,0.0,22.31499907401394,8.185452315956354e-10,1280,720,1274,678,43,115,1.0
43,0.717,0,42.54793215436271,0.0,22.31499907402442,1954.5864430279414,0.0,0.0,22.31499907402442,1954.5864430279414,1280,720,1274,678,44,118,1.0
44,0.733,0,42.74559557478507,0.0,10.301575072763264,618.0945043660229,0.0,0.0,10.301575072763264,618.0945043660229,1280,720,1275,678,44,118,1.0
45,0.75,0,42.67006789164456,0.0,14.568627181687683,2064.2733563656916,0.0,0.0,14.568627181687683,2064.2733563656916,1280,720,1274,677,43,115,1.0
46,0.767,0,42.44056802234112,0.0,46.86062704817055,1382.1013282799447,0.0,0.0,46.86062704817055,1382.1013282799447,1280,720,1274,678,44,118,1.0
47,0.783,0,41.89558882283184,0.0,49.321932861801415,2287.1424109925656,0.0,0.0,49.321932861801415,2287.1424109925656,1280,720,1274,679,42,113,1.0
48,0.8,0,41.11719327442531,0.0,11.428571428575651,2195.3568814047935,0.0,0.0,11.428571428575651,2195.3568814047935,1280,720,1274,679,42,113,1.0
49,0.817,0,40.9290354277142,0.0,44.62999814802788,1084.2094834865727,0.0,0.0,44.62999814802788,1084.2094834865727,1280,720,1273,680,41,111,1.0
50,0.833,0,40.29215866501363,0.0,53.90846361175856,706.8181072487796,0.0,0.0,53.90846361175856,706.8181072487796,1280,720,1274,680,40,109,1.0
51,0.85,0,39.715341998057596,0.0,62.66203485560193,2424.3661069256805,0.0,0.0,62.66203485560193,2424.3661069256805,1280,720,1275,680,41,111,1.0
52,0.867,0,39.177137115444864,0.0,35.79989738898003,2299.955633999627,0.0,0.0,35.79989738898003,2299.955633999627,1280,720,1276,682,40,106,1.0
53,0.883,0,38.626445184273656,0.0,22.31499907401394,1617.2539083521929,0.0,0.0,22.31499907401394,1617.2539083521929,1280,720,1276,681,40,106,1.0
54,0.9,0,38.41968977436285,0.0,39.999999999990905,2548.4689281122105,0.0,0.0,39.999999999990905,2548.4689281122105,1280,720,1276,682,40,106,1.0
55,0.917,0,38.49810785467289,0.0,67.43099269260915,2790.654959331699,0.0,0.0,67.43099269260915,2790.654959331699,1280,720,1275,682,39,104,1.0
56,0.933,0,37.963611889076056,0.0,104.82249330196872,923.1711097945805,0.0,0.0,104.82249330196872,923.1711097945805,1280,720,1274,682,39,104,1.0
57,0.95,0,37.73835811835744,0.0,120.16994768464907,1042.7592909088366,0.0,0.0,120.16994768464907,1042.7592909088366,1280,720,1273,683,39,104,1.0
58,0.967,0,37.55908421748641,0.0,113.20921574948082,618.0945043646607,0.0,0.0,113.20921574948082,618.0945043646607,1280,720,1271,684,38,102,1.0
59,0.983,0,37.74463665703895,0.0,117.69902813739242,2228.5714285701033,0.0,0.0,117.69902813739242,2228.5714285701033,1280,720,1268,684,37,100,1.0
60,1.0,0,38.18991212028519,0.0,80.81220356418646,1464.6863563398151,0.0,0.0,80.81220356418646,1464.6863563398151,1280,720,1267,684,37,98,1.0
61,1.017,0,38.49248240649155,0.0,60.54177171549164,542.1047417431569,0.0,0.0,60.54177171549164,542.1047417431569,1280,720,1266,684,37,98,1.0
62,1.033,0,38.55496415211641,0.0,61.07873807551937,1200.0000000005457,0.0,0.0,61.07873807551937,1200.0000000005457,1280,720,1264,685,37,98,1.0
63,1.05,0,38.793277347331056,0.0,41.60062793873636,4657.055213899088,0.0,0.0,41.60062793873636,4657.055213899088,1280,720,1264,685,36,96,1.0
64,1.067,0,38.90907477405818,0.0,42.18520874353289,1854.2835130942092,0.0,0.0,42.18520874353289,1854.2835130942092,1280,720,1263,685,36,96,1.0
65,1.083,0,38.33983973176715,0.0,73.01104193815847,618.0945043639797,0.0,0.0,73.01104193815847,618.0945043639797,1280,720,1263,685,36,96,1.0
66,1.1,0,37.33685600484517,0.0,62.7271382860048,2577.1365220069606,0.0,0.0,62.7271382860048,2577.1365220069606,1280,720,1264,686,36,96,1.0
67,1.117,0,36.49104509166721,0.0,103.01575072754486,1248.0188381616972,0.0,0.0,103.01575072754486,1248.0188381616972,1280,720,1267,687,35,95,1.0
68,1.133,0,35.34481908042074,0.0,103.84446768792577,727.3098320774263,0.0,0.0,103.84446768792577,727.3098320774263,1280,720,1267,687,35,95,1.0
69,1.15,0,34.53024570547869,0.0,113.74873849939871,2454.4836108477316,0.0,0.0,113.74873849939871,2454.4836108477316,1280,720,1267,687,35,95,1.0
